Run_ID,Run_Timestamp,Symbol,Date,Close_Price,Volume,Z_Score,Skewness,Kurtosis,ADF_p_value,Volume_Spike,Signal_Strength,Signal,Reason,Confidence,Logic,Factors,Buy_Logic,Sell_Logic,Validation_Message,Buy_Threshold,Sell_Threshold,Sector,Analysis_Timestamp,Tickers_Analyzed,Portfolio_Positions
02e91788,28-08-2025 00:50,RGTI,28-08-2025,15.685,471147,0.237656078,1.990768719,35.02348863,0.015332972,0.392426154,-0.540828039,SELL,"SELL (HIGH) - Ticker: RGTI, Z: 0.238, Threshold: -0.844",HIGH,"SELL: Z-Score=0.238, Threshold=-0.844, Strength=-0.541","Z(0.24), Threshold(-1.01/-0.84), Vol(0.39)",,"SELL: Z-Score=0.238, Threshold=-0.844, Strength=-0.541","Ticker-specific thresholds applied - Buy: -1.006, Sell: -0.844",-1.006,-0.844,Technology,50:40.9,16,1
02e91788,28-08-2025 00:50,TSLA,28-08-2025,349.91,874164,1.94639394,-4.553041951,87.13638251,0.378705451,0.350548767,0,HOLD,"HOLD (LOW) - Ticker: TSLA, Z: 1.946, Threshold: 2.324",LOW,"HOLD: Z-Score=1.946, Threshold=2.324, Strength=0.000","Z(1.95), Threshold(0.04/2.32), Vol(0.35)",,,"Ticker-specific thresholds applied - Buy: 0.039, Sell: 2.324",0.039,2.324,Technology,51:18.8,16,7
02e91788,28-08-2025 00:50,TTD,28-08-2025,52.5,49073,-1.184059342,-19.17318119,510.518574,0.811565774,0.229318097,-0.047470329,SELL,"SELL (MODERATE) - Ticker: TTD, Z: -1.184, Threshold: -1.279",MODERATE,"SELL: Z-Score=-1.184, Threshold=-1.279, Strength=-0.047","Z(-1.18), Threshold(-1.86/-1.28), Vol(0.23)",,"SELL: Z-Score=-1.184, Threshold=-1.279, Strength=-0.047","Ticker-specific thresholds applied - Buy: -1.858, Sell: -1.279",-1.858,-1.279,Technology,51:08.3,16,6
02e91788,28-08-2025 00:50,TWLO,28-08-2025,102.91,3713,-1.039971402,-8.3684504,180.5228684,0.777855212,0.051738215,-0.077514299,SELL,"SELL (MODERATE) - Ticker: TWLO, Z: -1.040, Threshold: -1.195",MODERATE,"SELL: Z-Score=-1.040, Threshold=-1.195, Strength=-0.078","Z(-1.04), Threshold(-2.10/-1.20), Vol(0.05)",,"SELL: Z-Score=-1.040, Threshold=-1.195, Strength=-0.078","Ticker-specific thresholds applied - Buy: -2.105, Sell: -1.195",-2.105,-1.195,Technology,51:11.2,16,7
24536346,28-08-2025 19:32,ASAN,28-08-2025,14.745,45072,0.754762278,-0.299962871,9.523577429,0.51996201,0.665707043,-0.857881139,SELL,"SELL (HIGH) - Ticker: ASAN, Z: 0.755, Threshold: -0.961",HIGH,"SELL: Z-Score=0.755, Threshold=-0.961, Strength=-0.858","Z(0.75), Threshold(-2.36/-0.96), Vol(0.67)",,"SELL: Z-Score=0.755, Threshold=-0.961, Strength=-0.858","Ticker-specific thresholds applied - Buy: -2.358, Sell: -0.961",-2.358,-0.961,Technology,33:00.1,16,6
24536346,28-08-2025 19:32,BW,28-08-2025,1.8614,105639,2.099974097,0.549798719,3.600589376,0.958178271,1.64701003,0,HOLD,"HOLD (LOW) - Ticker: BW, Z: 2.100, Threshold: 3.281",LOW,"HOLD: Z-Score=2.100, Threshold=3.281, Strength=0.000","Z(2.10), Threshold(1.12/3.28), Vol(1.65)",,,"Ticker-specific thresholds applied - Buy: 1.117, Sell: 3.281",1.117,3.281,Technology,33:10.3,16,8
24536346,28-08-2025 19:32,CVNA,28-08-2025,372.86,4106,1.662746244,12.5677055,281.1443872,0.038746393,0.064686194,-1,SELL,"SELL (HIGH) - Ticker: CVNA, Z: 1.663, Threshold: -0.711",HIGH,"SELL: Z-Score=1.663, Threshold=-0.711, Strength=-1.000","Z(1.66), Threshold(-2.04/-0.71), Vol(0.06)",,"SELL: Z-Score=1.663, Threshold=-0.711, Strength=-1.000","Ticker-specific thresholds applied - Buy: -2.035, Sell: -0.711",-2.035,-0.711,E-Commerce,32:55.2,16,4
24536346,28-08-2025 19:32,GOOG,28-08-2025,210.78,125974,1.835266296,1.124692277,14.88706837,0.721945373,0.225429614,0,HOLD,"HOLD (LOW) - Ticker: GOOG, Z: 1.835, Threshold: 2.044",LOW,"HOLD: Z-Score=1.835, Threshold=2.044, Strength=0.000","Z(1.84), Threshold(0.89/2.04), Vol(0.23)",,,"Ticker-specific thresholds applied - Buy: 0.885, Sell: 2.044",0.885,2.044,Technology,32:41.7,16,2
24536346,28-08-2025 19:32,HPE,28-08-2025,22.935,84798,2.558753496,0.650295349,27.99304589,0.896978113,0.138456389,-1,SELL,"SELL (HIGH) - Ticker: HPE, Z: 2.559, Threshold: -0.461",HIGH,"SELL: Z-Score=2.559, Threshold=-0.461, Strength=-1.000","Z(2.56), Threshold(-0.46/-0.46), Vol(0.14)",,"SELL: Z-Score=2.559, Threshold=-0.461, Strength=-1.000","Ticker-specific thresholds applied - Buy: -0.461, Sell: -0.461",-0.461,-0.461,Hardware,32:57.7,16,5
24536346,28-08-2025 19:32,JMIA,28-08-2025,9.2554,19435,2.112545758,10.21333531,185.6998885,0.967992653,0.079598045,0,HOLD,"HOLD (LOW) - Ticker: JMIA, Z: 2.113, Threshold: 3.792",LOW,"HOLD: Z-Score=2.113, Threshold=3.792, Strength=0.000","Z(2.11), Threshold(1.22/3.79), Vol(0.08)",,,"Ticker-specific thresholds applied - Buy: 1.222, Sell: 3.792",1.222,3.792,E-Commerce,33:17.4,16,8
24536346,28-08-2025 19:32,MSFT,28-08-2025,506.64,63583,-0.917498745,11.35993124,229.2462301,0.33615226,0.098861167,0,HOLD,"HOLD (LOW) - Ticker: MSFT, Z: -0.917, Threshold: -0.717",LOW,"HOLD: Z-Score=-0.917, Threshold=-0.717, Strength=0.000","Z(-0.92), Threshold(-1.19/-0.72), Vol(0.10)",,,"Ticker-specific thresholds applied - Buy: -1.186, Sell: -0.717",-1.186,-0.717,Technology,32:39.2,16,2
24536346,28-08-2025 19:32,NVDA,28-08-2025,177.11,1743441,0.034691735,-1.035840522,16.23323841,0.210899702,0.264169132,0,HOLD,"HOLD (LOW) - Ticker: NVDA, Z: 0.035, Threshold: 1.637",LOW,"HOLD: Z-Score=0.035, Threshold=1.637, Strength=0.000","Z(0.03), Threshold(-0.10/1.64), Vol(0.26)",,,"Ticker-specific thresholds applied - Buy: -0.101, Sell: 1.637",-0.101,1.637,Technology,32:44.2,16,2
24536346,28-08-2025 19:32,PATH,28-08-2025,11.3569,33451,-0.220212394,-0.363368374,9.164236762,0.55730747,0.126947378,-0.248393803,SELL,"SELL (MODERATE) - Ticker: PATH, Z: -0.220, Threshold: -0.717",MODERATE,"SELL: Z-Score=-0.220, Threshold=-0.717, Strength=-0.248","Z(-0.22), Threshold(-1.37/-0.72), Vol(0.13)",,"SELL: Z-Score=-0.220, Threshold=-0.717, Strength=-0.248","Ticker-specific thresholds applied - Buy: -1.368, Sell: -0.717",-1.368,-0.717,Technology,32:36.8,16,2
24536346,28-08-2025 19:32,PLTR,28-08-2025,154.1,462491,-0.743491038,1.296717023,51.44748171,0.562136154,0.169989584,0,HOLD,"HOLD (LOW) - Ticker: PLTR, Z: -0.743, Threshold: -0.478",LOW,"HOLD: Z-Score=-0.743, Threshold=-0.478, Strength=0.000","Z(-0.74), Threshold(-1.19/-0.48), Vol(0.17)",,,"Ticker-specific thresholds applied - Buy: -1.185, Sell: -0.478",-1.185,-0.478,Technology,33:02.9,16,6
24536346,28-08-2025 19:32,BABA,28-08-2025,120.155,33620,-0.079494027,1.696756764,33.58909504,0.016782141,0.080135328,0.064747013,BUY,"BUY (MODERATE) - Ticker: BABA, Z: -0.079, Threshold: 0.050",MODERATE,"BUY: Z-Score=-0.079, Threshold=0.050, Strength=0.065","Z(-0.08), Threshold(0.05/1.64), Vol(0.08)","BUY: Z-Score=-0.079, Threshold=0.050, Strength=0.065",,"Ticker-specific thresholds applied - Buy: 0.050, Sell: 1.643",0.05,1.643,E-Commerce,32:46.7,16,3
24536346,28-08-2025 19:32,PTON,28-08-2025,7.665,83283,0.519572904,2.63988183,27.12999871,0.564994723,0.336718705,0,HOLD,"HOLD (LOW) - Ticker: PTON, Z: 0.520, Threshold: 3.508",LOW,"HOLD: Z-Score=0.520, Threshold=3.508, Strength=0.000","Z(0.52), Threshold(0.17/3.51), Vol(0.34)",,,"Ticker-specific thresholds applied - Buy: 0.175, Sell: 3.508",0.175,3.508,Consumer,33:12.7,16,8
24536346,28-08-2025 19:32,RGTI,28-08-2025,15.85,224948,0.344558117,2.018714357,32.38357513,0.005714375,0.143394297,-0.594279059,SELL,"SELL (HIGH) - Ticker: RGTI, Z: 0.345, Threshold: -0.844",HIGH,"SELL: Z-Score=0.345, Threshold=-0.844, Strength=-0.594","Z(0.34), Threshold(-1.01/-0.84), Vol(0.14)",,"SELL: Z-Score=0.345, Threshold=-0.844, Strength=-0.594","Ticker-specific thresholds applied - Buy: -1.006, Sell: -0.844",-1.006,-0.844,Technology,32:34.2,16,1
24536346,28-08-2025 19:32,TSLA,28-08-2025,350.5,204078,1.932283577,-4.526293839,85.77286923,0.526117601,0.078109018,0,HOLD,"HOLD (LOW) - Ticker: TSLA, Z: 1.932, Threshold: 2.324",LOW,"HOLD: Z-Score=1.932, Threshold=2.324, Strength=0.000","Z(1.93), Threshold(0.04/2.32), Vol(0.08)",,,"Ticker-specific thresholds applied - Buy: 0.039, Sell: 2.324",0.039,2.324,Technology,33:15.0,16,8
24536346,28-08-2025 19:32,TTD,28-08-2025,54.17,166559,-1.046139455,-22.0796078,579.2334703,0.766279714,0.663646564,-0.116430272,SELL,"SELL (MODERATE) - Ticker: TTD, Z: -1.046, Threshold: -1.279",MODERATE,"SELL: Z-Score=-1.046, Threshold=-1.279, Strength=-0.116","Z(-1.05), Threshold(-1.86/-1.28), Vol(0.66)",,"SELL: Z-Score=-1.046, Threshold=-1.279, Strength=-0.116","Ticker-specific thresholds applied - Buy: -1.858, Sell: -1.279",-1.858,-1.279,Technology,33:05.3,16,7
24536346,28-08-2025 19:32,TWLO,28-08-2025,104.43,6692,-0.904598482,-8.312293395,177.561012,0.789177933,0.08716431,-0.145200759,SELL,"SELL (MODERATE) - Ticker: TWLO, Z: -0.905, Threshold: -1.195",MODERATE,"SELL: Z-Score=-0.905, Threshold=-1.195, Strength=-0.145","Z(-0.90), Threshold(-2.10/-1.20), Vol(0.09)",,"SELL: Z-Score=-0.905, Threshold=-1.195, Strength=-0.145","Ticker-specific thresholds applied - Buy: -2.105, Sell: -1.195",-2.105,-1.195,Technology,33:07.8,16,8
bcb9d9e9,29-08-2025 00:37,ASAN,29-08-2025,14.705,38140,0.679426639,-0.293662499,9.593006629,0.500895744,0.508342518,-0.82021332,SELL,"SELL (HIGH) - Ticker: ASAN, Z: 0.679, Threshold: -0.961",HIGH,"SELL: Z-Score=0.679, Threshold=-0.961, Strength=-0.820","Z(0.68), Threshold(-2.36/-0.96), Vol(0.51)",,"SELL: Z-Score=0.679, Threshold=-0.961, Strength=-0.820","Ticker-specific thresholds applied - Buy: -2.358, Sell: -0.961",-2.358,-0.961,Technology,37:37.4,16,7
